                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71455,                 1.5968,                 1.0554,                0.88252,                0.69917,                0.74584,                0.66034,                0.74111,                 1.1934,                 1.0168,              0.0033287,              0.0033287,              0.0033287
                      2,                0.58288,                0.83874,                0.97148,                0.94551,                0.71601,                0.77372,                0.69142,                 0.6953,                0.89078,                0.99942,              0.0066363,              0.0066363,              0.0066363
                      3,                0.60692,                0.74231,                0.98192,                0.94568,                 0.7017,                0.76276,                0.67252,                0.75142,                  0.849,                 1.0449,               0.009918,               0.009918,               0.009918
                      4,                0.61759,                0.69867,                 0.9932,                0.92066,                0.72148,                 0.7632,                0.69046,                0.75343,                0.83137,                 1.0331,               0.009884,               0.009884,               0.009884
                      5,                0.57566,                0.61824,                0.97466,                0.95567,                0.74326,                0.81074,                  0.726,                0.64378,                 0.6101,                0.97773,               0.009884,               0.009884,               0.009884
                      6,                 0.5427,                0.57212,                0.96272,                0.94713,                0.75399,                0.81985,                0.73034,                0.62746,                 0.5986,                0.96856,              0.0098453,              0.0098453,              0.0098453
                      7,                0.52941,                0.54483,                 0.9557,                0.94346,                0.75349,                0.81671,                0.73184,                0.62035,                0.60291,                0.96185,              0.0098066,              0.0098066,              0.0098066
                      8,                 0.5126,                 0.5205,                0.94818,                0.95198,                0.76421,                0.82066,                0.74164,                0.58398,                0.53852,                0.94852,               0.009768,               0.009768,               0.009768
                      9,                0.50106,                0.50572,                0.94786,                0.95461,                0.75932,                0.82099,                0.74644,                0.58025,                0.51829,                0.94892,              0.0097293,              0.0097293,              0.0097293
                     10,                0.49138,                0.48894,                0.94397,                0.97795,                0.76932,                0.83686,                0.75412,                0.56065,                0.49689,                0.93354,              0.0096906,              0.0096906,              0.0096906
                     11,                0.47866,                0.47961,                0.93691,                0.96873,                0.77359,                0.83954,                0.75651,                 0.5503,                0.52783,                 0.9231,               0.009652,               0.009652,               0.009652
                     12,                0.46809,                0.45994,                  0.932,                0.96356,                 0.7682,                0.83292,                0.75527,                0.56902,                0.49046,                0.93711,              0.0096133,              0.0096133,              0.0096133
                     13,                0.46156,                0.44715,                0.93034,                0.96503,                0.77174,                0.83665,                0.75728,                0.56129,                0.47727,                0.93853,              0.0095746,              0.0095746,              0.0095746
                     14,                0.46484,                0.45231,                0.93194,                0.96224,                0.78024,                0.83895,                0.75925,                 0.5558,                0.47733,                0.93414,              0.0095359,              0.0095359,              0.0095359
                     15,                0.45719,                0.44143,                0.92895,                0.96906,                0.77281,                0.83914,                   0.76,                0.55187,                 0.4836,                0.93372,              0.0094973,              0.0094973,              0.0094973
                     16,                0.45333,                0.43567,                 0.9273,                0.95331,                 0.7757,                0.84809,                0.76519,                0.55386,                0.45144,                0.93412,              0.0094586,              0.0094586,              0.0094586
                     17,                0.44791,                0.42858,                0.92377,                0.96654,                0.77918,                0.85651,                0.77093,                0.53661,                0.42627,                0.91996,              0.0094199,              0.0094199,              0.0094199
                     18,                0.43828,                0.42156,                0.92119,                0.95915,                0.78781,                0.85348,                0.77312,                0.53089,                 0.4235,                0.91595,              0.0093813,              0.0093813,              0.0093813
                     19,                0.44177,                0.42149,                0.91992,                0.96219,                0.77736,                0.85737,                0.77526,                0.52293,                 0.4304,                0.91489,              0.0093426,              0.0093426,              0.0093426
                     20,                0.43952,                0.41908,                0.92084,                0.96536,                0.78797,                 0.8587,                0.77517,                0.53001,                0.41029,                  0.923,              0.0093039,              0.0093039,              0.0093039
                     21,                0.43391,                0.41297,                0.91891,                0.96944,                0.77184,                0.85625,                0.77705,                 0.5258,                0.41726,                0.91113,              0.0092652,              0.0092652,              0.0092652
                     22,                0.43865,                 0.4147,                0.91862,                0.97202,                0.78184,                0.85896,                 0.7762,                0.51726,                0.40933,                0.90857,              0.0092266,              0.0092266,              0.0092266
                     23,                0.43191,                0.40604,                0.91672,                0.96521,                0.78119,                0.85786,                0.77588,                0.52342,                0.40511,                0.91095,              0.0091879,              0.0091879,              0.0091879
                     24,                0.42559,                0.40171,                0.91492,                0.96508,                0.78013,                0.85579,                0.77742,                 0.5099,                0.42112,                0.91533,              0.0091492,              0.0091492,              0.0091492
                     25,                 0.4218,                 0.3931,                0.91195,                0.96718,                0.78627,                0.86414,                0.78134,                0.50578,                0.39886,                0.90584,              0.0091105,              0.0091105,              0.0091105
                     26,                 0.4246,                  0.395,                0.91192,                0.97252,                0.77564,                0.85619,                0.77946,                0.50434,                0.40238,                0.91195,              0.0090719,              0.0090719,              0.0090719
                     27,                0.41779,                0.39331,                0.91024,                0.96992,                0.78578,                0.86054,                 0.7797,                0.51021,                0.40983,                0.90501,              0.0090332,              0.0090332,              0.0090332
                     28,                0.41632,                0.38736,                0.91015,                  0.972,                0.77997,                 0.8627,                0.78167,                0.50524,                0.39651,                0.90278,              0.0089945,              0.0089945,              0.0089945
                     29,                0.41742,                 0.3883,                  0.912,                0.96795,                0.78659,                0.86237,                0.78359,                0.50648,                0.38364,                0.90735,              0.0089559,              0.0089559,              0.0089559
                     30,                0.41724,                0.38769,                0.91158,                0.97298,                0.78701,                0.85304,                0.77832,                0.51353,                0.39375,                0.90623,              0.0089172,              0.0089172,              0.0089172
                     31,                0.40626,                0.37892,                  0.906,                0.97096,                0.78477,                0.86805,                0.78367,                0.50675,                0.38033,                0.90671,              0.0088785,              0.0088785,              0.0088785
                     32,                0.41033,                0.38194,                0.90769,                0.97186,                0.78836,                0.85913,                0.78115,                0.49509,                0.37847,                0.90507,              0.0088398,              0.0088398,              0.0088398
                     33,                0.41349,                0.38313,                0.91111,                0.97229,                0.78439,                0.85663,                0.78047,                0.49886,                0.38329,                0.90465,              0.0088012,              0.0088012,              0.0088012
                     34,                0.40238,                0.37117,                0.90592,                0.97578,                0.78379,                0.86511,                0.78666,                0.48777,                0.37366,                0.89829,              0.0087625,              0.0087625,              0.0087625
                     35,                  0.401,                0.37264,                 0.9055,                0.96942,                0.78423,                0.86452,                0.78607,                0.49319,                0.37184,                0.90291,              0.0087238,              0.0087238,              0.0087238
                     36,                0.40179,                0.37255,                0.90805,                0.96655,                0.79057,                0.87008,                0.78944,                0.49158,                0.36293,                0.89968,              0.0086852,              0.0086852,              0.0086852
                     37,                0.40211,                0.37255,                0.90644,                0.97574,                0.78208,                0.86731,                0.78679,                0.49433,                0.36468,                0.90468,              0.0086465,              0.0086465,              0.0086465
                     38,                0.39365,                0.36354,                0.90088,                0.96901,                0.79027,                0.86976,                0.78922,                 0.4919,                0.36535,                0.89947,              0.0086078,              0.0086078,              0.0086078
                     39,                0.40203,                0.37102,                0.90746,                0.95959,                0.80007,                0.87024,                0.78655,                0.49939,                0.36546,                0.90533,              0.0085691,              0.0085691,              0.0085691
                     40,                0.40094,                0.36898,                0.90493,                0.96844,                0.78763,                 0.8682,                0.78747,                0.49685,                0.36497,                0.90289,              0.0085305,              0.0085305,              0.0085305
                     41,                0.39336,                0.35704,                0.90047,                0.96261,                0.79801,                0.87439,                0.79037,                0.48756,                0.34877,                0.89614,              0.0084918,              0.0084918,              0.0084918
                     42,                0.38827,                0.35619,                0.89953,                0.96226,                0.79657,                0.87217,                0.79074,                0.48823,                0.36322,                0.89739,              0.0084531,              0.0084531,              0.0084531
                     43,                0.38667,                0.35905,                0.89999,                0.97159,                0.78783,                 0.8697,                0.78858,                0.48944,                0.35444,                0.89751,              0.0084145,              0.0084145,              0.0084145
                     44,                0.38788,                0.35933,                0.90075,                0.97185,                0.78884,                0.87065,                0.78924,                0.48594,                0.35312,                0.89975,              0.0083758,              0.0083758,              0.0083758
                     45,                0.38479,                0.35275,                0.89962,                0.96197,                0.79763,                0.87047,                0.78952,                0.48912,                0.35167,                0.90161,              0.0083371,              0.0083371,              0.0083371
                     46,                0.39287,                0.35544,                0.90274,                0.96943,                0.79206,                0.87322,                0.78934,                0.49049,                 0.3519,                0.90477,              0.0082984,              0.0082984,              0.0082984
                     47,                0.38895,                0.35627,                0.90224,                0.96629,                0.79598,                0.87266,                0.78995,                0.49282,                0.34685,                0.90524,              0.0082598,              0.0082598,              0.0082598
                     48,                0.38826,                0.35606,                0.89913,                0.96485,                0.79624,                0.87205,                0.79229,                0.48621,                0.34664,                0.89866,              0.0082211,              0.0082211,              0.0082211
